ID,Slug,Name,Sector,Subsector,Province,Location,Stage,CapexCAD,CapexStatus,Buildability,BuildabilityCoverage,Confidence
c04fefbf-5a2c-55d6-9247-cdc903a36a62,inuvialuit-energy-security-project,Inuvialuit Energy Security Project,Energy & Fuels,Energy infrastructure,NT,17km south of Tuktoyaktuk,CONSTRUCTION,160000000,REPORTED,95.0,15.0,REPORTED
c0e7b955-a1b3-5b67-99d1-1dfc58ade3b1,hammond-reef,Hammond Reef,Mining & Metals,Mining & mineral development,ON,Atikokan,ANNOUNCED,1313000000,REPORTED,20.0,15.0,REPORTED
c1121448-91d8-5716-94cb-a65f8bde908c,houston-project,Houston Project,Mining & Metals,Mining & mineral development,NL,Northwestern Labrador,ANNOUNCED,86800000,REPORTED,20.0,15.0,REPORTED
c12dfd5d-ee71-5e69-9afe-0c11ca979b35,future-energy-park-renewable-natural-gas-and-ethanol-project,Future Energy Park Renewable Natural Gas and Ethanol Project,Clean Energy & Grid,Bioenergy,AB,Calgary,ANNOUNCED,1500000000,REPORTED,20.0,15.0,REPORTED
c251b7a5-a09d-543d-a521-9dca89e6cbb9,higgins-mountain-wind-farm,Higgins Mountain Wind Farm,Clean Energy & Grid,Wind,NS,"Wentworth, NS",CONSTRUCTION,250000000,REPORTED,95.0,15.0,REPORTED
c2e557eb-0f83-54ca-ad26-11ea38d6a5c9,redevelopment-of-coniston-station,Redevelopment of Coniston station,Clean Energy & Grid,Hydro,ON,Sudbury,ANNOUNCED,85000000,REPORTED,20.0,15.0,REPORTED
c2fecd7f-8995-50c0-ac5c-02a062b88d5f,nova-solar-project,Nova Solar Project,Clean Energy & Grid,Bioenergy,AB,Wheatland County,ANNOUNCED,225000000,REPORTED,20.0,15.0,REPORTED
c3316fd6-6ea6-53b4-ab2e-3005c3ea31e2,luna-solar-project,Luna Solar+ Project,Clean Energy & Grid,Solar,AB,Newell County,ANNOUNCED,700000000,REPORTED,20.0,15.0,REPORTED
c3404ae8-b652-58e6-8f00-601f74c42ff3,st-lawrence-fluorspar-mine,St. Lawrence Fluorspar Mine,Mining & Metals,Mining & mineral development,NL,St. Lawrence,ANNOUNCED,125000000,REPORTED,20.0,15.0,REPORTED
c3623e81-0eb6-5218-b292-377762dc871a,robson-valley-hydroelectric-project,Robson Valley Hydroelectric Project,Clean Energy & Grid,Hydro,BC,McBride,ANNOUNCED,200000000,REPORTED,20.0,15.0,REPORTED
c3fe210b-2335-5faf-bcb0-e4fab4983349,slave-lake-bio-mass-gas-to-liquids-plant,Slave Lake Bio-Mass/Gas to Liquids Plant,Clean Energy & Grid,Bioenergy,AB,Lesser Slave River No.124,CONSTRUCTION,35000000,REPORTED,95.0,15.0,REPORTED
c4b4fb2d-7db4-5df5-be29-54f4771a1a21,grouse,Grouse,Energy & Fuels,Energy infrastructure,AB,Hudson Hope,ANNOUNCED,1500000000,REPORTED,20.0,15.0,REPORTED
c52fd041-7952-5cb5-ac37-2c7deec9a721,usine-de-demonstration-de-fabrication-de-briquettes-de-biocarbone,Usine de démonstration de fabrication de briquettes de biocarbone,Forestry & Bioeconomy,Bioenergy,QC,Chicoutimi,CONSTRUCTION,46000000,REPORTED,95.0,15.0,REPORTED
c64ea34a-8298-5b74-9fe3-39be940a3436,baptiste-nickel-decar,Baptiste Nickel (Decar),Mining & Metals,Mining & mineral development,BC,Sparwood,ANNOUNCED,3000000000,REPORTED,20.0,15.0,REPORTED
c77bc5a6-a7a5-54d8-9f8c-4452120dc146,glacier-gas-plant-ccs,Glacier Gas Plant CCS,Clean Energy & Grid,Carbon Capture and Storage,AB,Saddle Hills County,CONSTRUCTION,127000000,REPORTED,95.0,15.0,REPORTED
c80dae32-7d64-5389-b441-6d7ba372a952,martison,Martison,Mining & Metals,Mining & mineral development,ON,70 km NNE of Hearst,ANNOUNCED,2326920000,REPORTED,20.0,15.0,REPORTED
